Timestamp,Kraken,Kucoin,MEXC,Turbos Finance · Sui,Bluefin · Sui,Cetus · Sui,Gate.io
2025-08-19T00:00:00+00:00,252492.356414741805,411357.12164769857142857142857143,602753.202214801,,,,
2025-08-20T00:00:00+00:00,623178.06730202949479166666666666667,789280.69201935,917825.684584694722222222222222222,1716860.3435251798561151079136691,1748751.9397142857142857142857143,1132060.5113571428571428571428571,95212.520732232758620689655172414
2025-08-21T00:00:00+00:00,115493.597023385405,368430.14787951041666666666666667,357322.17001771784722222222222222,1054425.0575694444444444444444444,1748083.4507638888888888888888889,917576.30569444444444444444444444,151061.77631563888888888888888889
2025-08-22T00:00:00+00:00,32630.87863740246076388888888888889,131188.85819838055555555555555556,98550.949440219930555555555555556,332174.85916666666666666666666667,1120853.7597222222222222222222222,641752.28493055555555555555555556,72936.163663295138888888888888889
2025-08-23T00:00:00+00:00,22849.75449178099833333333333333333,108080.21238012291666666666666667,59805.5331623262,339578.33888888888888888888888889,1109301.39125,866244.66145833333333333333333333,85063.946781576388888888888888889
2025-08-24T00:00:00+00:00,11266.13107898097680555555555555556,61924.400065070833333333333333333,20573.258103077847222222222222222,38614.489305555555555555555555556,360920.20381944444444444444444444,58733.148194444444444444444444444,25629.146302680555555555555555556
2025-08-25T00:00:00+00:00,11053.3453745039548611111111111111,99417.3697438875,64911.472445356111111111111111111,123207.86256944444444444444444444,479813.35465277777777777777777778,156529.14534722222222222222222222,71045.312473305555555555555555556
2025-08-26T00:00:00+00:00,27126.42280475992930555555555555556,512261.26318603055555555555555556,362444.16483258493055555555555556,811000.70895833333333333333333333,1329318.4482638888888888888888889,1035233.0909722222222222222222222,295136.86638397569444444444444444
2025-08-27T00:00:00+00:00,41395.5326232311923611111111111111,453189.46542346527777777777777778,341138.28900109159722222222222222,1227360.1886805555555555555555556,1059590.5788888888888888888888889,1750869.65125,303738.11958088194444444444444444
2025-08-28T00:00:00+00:00,16457.79188959528625,183230.478984788,197343.076610361249289333333333333333333,509221.07368055555555555555555556,11840.9325,806947.25361111111111111111111111,128438.64975833680555555555555556
2025-08-29T00:00:00+00:00,13579.0562834998784722222222222222,135311.26767764930555555555555556,90108.985278091041666666666666667,365488.65395833333333333333333333,277892.07402777777777777777777778,549225.60027777777777777777777778,137747.15961019791666666666666667
2025-08-30T00:00:00+00:00,28723.51050319252305555555555555556,362851.62507736319444444444444444,270333.06887527111111111111111111,347811.51659722222222222222222222,824104.41763888888888888888888889,563783.43638888888888888888888889,709863.05627255208333333333333333
2025-08-31T00:00:00+00:00,31138.5618304765173611111111111111,739122.44025797013888888888888889,356562.76662662645833333333333333,144825.08409722222222222222222222,755976.26923611111111111111111111,188996.00291666666666666666666667,898698.37471925347222222222222222
2025-09-01T00:00:00+00:00,18119.76787429562798611111111111111,1067589.3675970020833333333333333,88348.876729078611111111111111111,139103.73930555555555555555555556,422131.25347222222222222222222222,102642.80965277777777777777777778,514209.55738302430555555555555556
2025-09-02T00:00:00+00:00,28213.87932533124541666666666666667,1493184.2316627347222222222222222,93800.142657816736111111111111111,652138.54270833333333333333333333,899037.75944444444444444444444444,605717.57590277777777777777777778,862666.85889995833333333333333333
2025-09-03T00:00:00+00:00,16237.17230053720590277777777777778,1809624.2321519090277777777777778,50839.114521913680555555555555556,379916.10875,576240.67854166666666666666666667,454958.57256944444444444444444444,328390.69267600347222222222222222
2025-09-04T00:00:00+00:00,20819.96821074387597222222222222222,396477.12898823263888888888888889,21181.664095257708333333333333333,126005.49486111111111111111111111,255398.12486111111111111111111111,130385.11027777777777777777777778,70265.531808440972222222222222222
2025-09-05T00:00:00+00:00,13601.41063629718307692307692307692,50636.562834123776223776223776224,28166.328170263706293706293706294,386545.96979020979020979020979021,617333.59594405594405594405594406,567785.97802816901408450704225352,94063.722276363636363636363636364
2025-09-06T00:00:00+00:00,227005.23393205559729166666666666667,328832.43903257013888888888888889,207428.08827671743055555555555556,795069.35265734265734265734265734,1100208.1537062937062937062937063,1033396.6811888111888111888111888,342158.98641191666666666666666667
2025-09-07T00:00:00+00:00,46591.34888413542527777777777777778,242527.35602652708333333333333333,134421.80478517722222222222222222,557312.16145833333333333333333333,707539.63715277777777777777777778,98519.465138888888888888888888889,306173.50199729513888888888888889
2025-09-08T00:00:00+00:00,56686.42911947861513888888888888889,209680.41430986875,364270.49999695034722222222222222,439195.78673611111111111111111111,552266.00166666666666666666666667,18886.591180555555555555555555556,350914.03143733680555555555555556
2025-09-09T00:00:00+00:00,42440.36668315961034722222222222222,118927.78603352847222222222222222,99558.287495096388888888888888889,485998.62972222222222222222222222,380356.42284722222222222222222222,42656.592916666666666666666666667,190626.23330039583333333333333333
2025-09-10T00:00:00+00:00,31783.19907947170055555555555555556,100726.44282072708333333333333333,35115.225870109791666666666666667,61078.312986111111111111111111111,23208.72958041958041958041958042,3637.2116197183098591549295774648,91753.046026385416666666666666667
2025-09-11T00:00:00+00:00,65333.31822676681236111111111111111,306583.45911284513888888888888889,97657.075305042291666666666666667,56476.331666666666666666666666667,45509.519791666666666666666666667,8114.0573611111111111111111111111,122711.58223992361111111111111111
2025-09-12T00:00:00+00:00,13794.38330748260388888888888888889,116890.47075297152777777777777778,95649.117368104166666666666666667,66836.403819444444444444444444444,87490.350138888888888888888888889,6997.4041666666666666666666666667,50284.522733913194444444444444444
2025-09-13T00:00:00+00:00,19421.92577312629111111111111111111,104506.4828299,52713.244762489583333333333333333,40842.748333333333333333333333333,42234.481041666666666666666666667,7490.0869444444444444444444444444,55777.282963909722222222222222222
2025-09-14T00:00:00+00:00,32553.80843707629076388888888888889,98975.856459834722222222222222222,29516.669354026458333333333333333,20062.676944444444444444444444444,14014.487083333333333333333333333,9581.0649305555555555555555555556,52687.490086079861111111111111111
2025-09-15T00:00:00+00:00,15961.06895134871027777777777777778,97170.935720247222222222222222222,18979.682580286111111111111111111,10234.560902777777777777777777778,4373.1935416666666666666666666667,4118.7584722222222222222222222222,26265.9790399063
2025-09-16T00:00:00+00:00,15723.17570030033972222222222222222,55986.977257113888888888888888889,26186.063006352361111111111111111,3663.1718055555555555555555555556,3214.815,1708.2479166666666666666666666667,22472.8030214375
2025-09-17T00:00:00+00:00,32129.30747618480715277777777777778,42849.406164654166666666666666667,41253.262995022986111111111111111,14023.872291666666666666666666667,27197.483402777777777777777777778,10739.85,35203.533391111111111111111111111
2025-09-18T00:00:00+00:00,44708.39019246066888888888888888889,121049.118280615958333333333333333,42743.3499506677145833333333333333,9221.6838888888888888888888888889,34642.310833333333333333333333333,10787.199166666666666666666666667,44557.099328273645833333333333333
2025-09-19T00:00:00+00:00,33322.0547303062107895833333333333333,145576.414095353013888888888888889,35655.1535626850881944444444444444,3299.3404166666666666666666666667,16118.425555555555555555555555556,5948.769375,53842.515541511180555555555555556
2025-09-20T00:00:00+00:00,53857.1480124152421409722222222222222,177878.316680324680555555555555556,91665.98222730248055555555555555556,22225.195208333333333333333333333,104660.40298611111111111111111111,37223.530555555555555555555555556,55734.483096302465277777777777778
2025-09-21T00:00:00+00:00,39816.9217680265100111111111111111111,116904.7208622450625,58024.51129972223125,16831.029305555555555555555555556,73038.949305555555555555555555556,27955.448402777777777777777777778,41021.431701077916666666666666667
2025-09-22T00:00:00+00:00,84603.93598043107739166666666666666667,135657.076206584979166666666666667,121496.51490829090625,62461.341805555555555555555555556,49209.774583333333333333333333333,36723.418263888888888888888888889,84085.824291171458333333333333333
2025-09-23T00:00:00+00:00,72999.39326946865559097222222222222222,123379.3044597754375,88798.67065854674930555555555555556,97604.968472222222222222222222222,37138.165416666666666666666666667,22252.873541666666666666666666667,79280.362851440138888888888888889
2025-09-24T00:00:00+00:00,19747.2693494585462826388888888888889,37040.135916485402777777777777778,50092.3021704061347222222222222222,65131.078541666666666666666666667,86827.689930555555555555555555556,35070.360486111111111111111111111,24913.029299869756944444444444444
2025-09-25T00:00:00+00:00,19771.3670340848946145833333333333333,76028.0438435059930555555555555556,55232.4813109288590277777777777778,47899.141041666666666666666666667,102621.14611111111111111111111111,38318.768611111111111111111111111,33121.432619599131944444444444444
2025-09-26T00:00:00+00:00,24168.6632948129705847222222222222222,161162.964194233701388888888888889,135113.86811762955625,56029.219027777777777777777777778,112415.58493055555555555555555556,46575.988194444444444444444444444,78949.3029689920486111111111111111
2025-09-27T00:00:00+00:00,34765.61955177554673611111111111111,136093.41661746736111111111111111,76271.326304475486111111111111111,78084.031736111111111111111111111,87156.502013888888888888888888889,78457.342222222222222222222222222,36570.978077583333333333333333333
2025-09-28T00:00:00+00:00,41763.68504454696708333333333333333,106090.98668721458333333333333333,61144.106501036805555555555555556,30481.151458333333333333333333333,29963.821597222222222222222222222,27837.693125,20347.622700895833333333333333333
2025-09-29T00:00:00+00:00,14843.48858767750631944444444444444,160761.99543898055555555555555556,68328.491610603194444444444444444,8554.9172222222222222222222222222,14243.419861111111111111111111111,11222.502291666666666666666666667,30613.754159697916666666666666667
2025-09-30T00:00:00+00:00,24710.53304199716520833333333333333,371008.38608794027777777777777778,142940.30808001729166666666666667,37235.441666666666666666666666667,49774.189305555555555555555555556,38046.196458333333333333333333333,69560.839201861111111111111111111
2025-10-01T00:00:00+00:00,26335.34796476864958333333333333333,219211.29221934166666666666666667,154540.44867498104166666666666667,21780.121041666666666666666666667,23816.993125,21559.264652777777777777777777778,58732.829857944444444444444444444
2025-10-02T00:00:00+00:00,11794.67133768592944444444444444444,215656.32253106388888888888888889,138580.73379934430555555555555556,17312.784236111111111111111111111,17306.249930555555555555555555556,13063.196666666666666666666666667,66370.544166013888888888888888889
2025-10-03T00:00:00+00:00,12762.26142974666645833333333333333,644818.21674879861111111111111111,144037.66070792194444444444444444,16294.975555555555555555555555556,11856.408055555555555555555555556,8214.396875,123084.13489101736111111111111111
2025-10-04T00:00:00+00:00,11708.86606865099104166666666666667,1405095.4399766513888888888888889,367515.41963566034722222222222222,28659.491944444444444444444444444,20146.565625,14158.4775,550640.04348889583333333333333333
2025-10-05T00:00:00+00:00,27536.67487876501493055555555555556,2636551.2165945138888888888888889,435060.12627842555555555555555556,59208.357430555555555555555555556,39360.193819444444444444444444444,25108.635416666666666666666666667,775971.12246442361111111111111111
2025-10-06T00:00:00+00:00,27228.67578896431291666666666666667,1246122.98056723,127668.56669890625,26569.989652777777777777777777778,11836.645208333333333333333333333,8946.4975694444444444444444444444,416460.98927352430555555555555556
2025-10-07T00:00:00+00:00,62368.9836610561558027777777777777778,1172907.751871014319444444444444444,136607.8080932518638888888888888889,35486.327152777777777777777777778,24063.083194444444444444444444444,18636.429861111111111111111111111,287829.30566518027777777777777778
2025-10-08T00:00:00+00:00,55195.8053195434274041666666666666667,639880.103906104041666666666666667,76947.14894879436597222222222222222,22841.232708333333333333333333333,15780.219444444444444444444444444,12147.930486111111111111111111111,158878.58571086756944444444444444
2025-10-09T00:00:00+00:00,28545.2240674164298854166666666666667,478805.674170769986111111111111111,58059.0132394297409722222222222222,8109.6913888888888888888888888889,10848.054583333333333333333333333,10748.669027777777777777777777778,252876.08953319319444444444444444
2025-10-10T00:00:00+00:00,29121.74349332614889375,978669.7431955087638888888888888889,41600.312010936555555555555555556,16062.710763888888888888888888889,24211.299166666666666666666666667,32900.909861111111111111111111111,472452.46366529847222222222222222
2025-10-11T00:00:00+00:00,76987.74104238303749444444444444444444,661344.507264158375,64700.1515037276798611111111111111,17688.928055555555555555555555556,113160.11270833333333333333333333,127382.01041666666666666666666667,103372.07179060013888888888888889
2025-10-12T00:00:00+00:00,14279.0305766464115819444444444444444,112215.19178011548611111111111111,17784.4374506956472222222222222222,4066.7256944444444444444444444444,6333.8966666666666666666666666667,8749.5547222222222222222222222222,30858.212849680520833333333333333
2025-10-13T00:00:00+00:00,17804.2981810026998486111111111111111,143213.326267940888888888888888889,23789.2773724084847222222222222222,6712.5404861111111111111111111111,15824.722013888888888888888888889,11038.410347222222222222222222222,48300.038175164583333333333333333
2025-10-14T00:00:00+00:00,27718.8413082904051451388888888888889,70360.9234134325555555555555555556,18531.17720693655625,9312.4511805555555555555555555556,15683.137638888888888888888888889,11386.297430555555555555555555556,29933.935643562673611111111111111
2025-10-15T00:00:00+00:00,9096.6729908924015125,36182.030481975805555555555555556,7608.45581377422361111111111111111,5799.8183333333333333333333333333,5271.2432638888888888888888888889,6663.1334027777777777777777777778,23554.813963041111111111111111111
2025-10-16T00:00:00+00:00,10347.4208706721253965277777777777778,42974.841013499555555555555555556,6677.2449696985277777777777777778,3287.2765972222222222222222222222,3107.9145833333333333333333333333,3561.2802777777777777777777777778,14030.784710993888888888888888889
2025-10-17T00:00:00+00:00,22949.0189488159469909722222222222222,72383.4993199794722222222222222222,17910.7675764731777777777777777778,10075.323888888888888888888888889,11561.548819444444444444444444444,15929.233125,32651.318618342743055555555555556
2025-10-18T00:00:00+00:00,27963.6511832950558375,66364.703385651486111111111111111,23374.4415434674006944444444444444,15538.050277777777777777777777778,17714.666805555555555555555555556,30996.993333333333333333333333333,37220.235505275034722222222222222
2025-10-19T00:00:00+00:00,8490.69121139487375037593984962406015,27427.510488480466165413533834586,5302.3445230508165413533834586466,3450.6436090225563909774436090226,3126.2872180451127819548872180451,5191.3054135338345864661654135338,8410.7065458432706766917293233083
2025-10-20T00:00:00+00:00,18793.5632513496479649635036496350365,58712.824167089124087591240875912,22205.486006272749635036496350365,21007.079703703703703703703703704,13776.466296296296296296296296296,27717.371333333333333333333333333,34106.028992802007299270072992701
2025-10-21T00:00:00+00:00,21023.0872239225439611111111111111111,39235.125909619708333333333333333,12494.3036738783756944444444444444,2842.101875,2369.6529861111111111111111111111,3457.5178472222222222222222222222,13326.396903171319444444444444444
2025-10-22T00:00:00+00:00,12722.289780275147333333333333333333,21667.828480249069444444444444444,8565.05201770068402777777777777778,1991.6084027777777777777777777778,13438980.271805555555555555555556,3068.3608333333333333333333333333,20068.185044848506944444444444444
2025-10-23T00:00:00+00:00,6725.2959985683473916666666666666667,22066.550883176,17023.7929761297763888888888888889,1618.0225694444444444444444444444,631535032.01326388888888888888889,2244.2131944444444444444444444444,11954.1871674288
2025-10-24T00:00:00+00:00,71338.5415437374316736111111111111111,127124.087583649055555555555555556,53510.704727489416666666666666667,36885.709722222222222222222222222,48199.370763888888888888888888889,5078.7196527777777777777777777778,37326.212566208159722222222222222
2025-10-25T00:00:00+00:00,80010.27613862325897638888888888888889,90978.2122208152638888888888888889,23094.9089308704923611111111111111,15354.373888888888888888888888889,21942.358402777777777777777777778,3409.3181944444444444444444444444,23583.089254617395833333333333333
2025-10-26T00:00:00+00:00,36752.9871520014749548611111111111111,57022.416591934027777777777777778,17730.4940900896486111111111111111,1124.6250694444444444444444444444,2328.8377777777777777777777777778,2958.4250694444444444444444444444,21487.114212467638888888888888889
2025-10-27T00:00:00+00:00,13058.5412251759703347222222222222222,68205.487055508347222222222222222,26269.0573797944319444444444444444,8942.9784027777777777777777777778,17278.8475,15028.083472222222222222222222222,22463.867740076458333333333333333
2025-10-28T00:00:00+00:00,30187.9428656644958715277777777777778,137037.68969781652777777777777778,36197.910940748631944444444444444,18255.772569444444444444444444444,29783.482097902097902097902097902,24945.042587412587412587412587413,36915.279315606041666666666666667
2025-10-29T00:00:00+00:00,55616.2018281984987611111111111111111,106265.660787494388888888888888889,19653.61554628891875,7261.0845138888888888888888888889,10088.71625,11642.439375,43228.160778186319444444444444444
2025-10-30T00:00:00+00:00,96369.81975619159022361111111111111111,138122.365143766236111111111111111,35740.8687511735791666666666666667,38997.052013888888888888888888889,56137.052361111111111111111111111,76933.668472222222222222222222222,69055.532791249895833333333333333
2025-10-31T00:00:00+00:00,63843.3764652749602826388888888888889,121052.268495245180555555555555556,15915.2851390818305555555555555556,35698.865944055944055944055944056,40461.703286713286713286713286713,55233.282167832167832167832167832,72236.929367905208333333333333333
2025-11-01T00:00:00+00:00,34371.8782127582198875,62155.447514133291666666666666667,7746.07388790183263888888888888889,15224.548611111111111111111111111,15116.665972222222222222222222222,17580.414027777777777777777777778,26898.2710702640625
2025-11-02T00:00:00+00:00,11340.3293035540221048611111111111111,19899.026048238152777777777777778,7312.94031892196388888888888888889,2750.875625,3201.0610416666666666666666666667,3169.3684722222222222222222222222,12057.821707469027777777777777778
2025-11-03T00:00:00+00:00,20480.4824142016074395833333333333333,65492.361227434194444444444444444,12200.791189928381944444444444444,8667.3526388888888888888888888889,9455.8359722222222222222222222222,10041.641805555555555555555555556,31521.078590990659722222222222222
2025-11-04T00:00:00+00:00,35789.127629420579625,71686.3903107108472222222222222222,14810.765827139899980820701388888888888889,9057.2048611111111111111111111111,10167.634444444444444444444444444,10503.558541666666666666666666667,43541.7948550190625
2025-11-05T00:00:00+00:00,21988.0111045421966673611111111111111,33875.903295609916666666666666667,3683.0056330446041666666666666667,5500.331875,6594.3100694444444444444444444444,7112.1876388888888888888888888889,22038.327841608194444444444444444
2025-11-06T00:00:00+00:00,12083.6218484784060305555555555555556,45547.915693414652777777777777778,7090.98142623270902777777777777778,1347.5052777777777777777777777778,2043.7422222222222222222222222222,1691.0797916666666666666666666667,10323.133694148854166666666666667
2025-11-07T00:00:00+00:00,39470.2441495931338465277777777777778,122290.159128652388888888888888889,16065.4551066950305555555555555556,1985.951875,3696.1493055555555555555555555556,3774.6836111111111111111111111111,23140.568570501284722222222222222
2025-11-08T00:00:00+00:00,86264.43278358739295069444444444444444,25732.456557334180555555555555556,11113.9437186692826388888888888889,5771.5581944444444444444444444444,6986.0245833333333333333333333333,7449.6302777777777777777777777778,21112.995844387986111111111111111
2025-11-09T00:00:00+00:00,20842.5419857367097534722222222222222,6069.8629561970694444444444444444,6295.5591134237881944444444444444,4340.9692361111111111111111111111,4648.6615972222222222222222222222,6101.6611111111111111111111111111,15335.406094526805555555555555556
2025-11-10T00:00:00+00:00,14111.3634991909138347222222222222222,8796.3492119168055555555555555556,5269.3109207636034722222222222222,4731.2026388888888888888888888889,5372.2100694444444444444444444444,6924.2773611111111111111111111111,18849.154968734861111111111111111
2025-11-11T00:00:00+00:00,52541.4854411171971180851063829787234,29525.071389311063829787234042553,12917.0988353389840425531914893617,7276.7212765957446808510638297872,7670.8312765957446808510638297872,6425.8006382978723404255319148936,28922.873471006648936170212765957
